n	pierwiastki pierwotne mod n
1	0
2	1
3	2
4	3
5	2, 3
6	5
7	3, 5
8	
9	2, 5
10	3, 7
11	2, 6, 7, 8
12	
13	2, 6, 7, 11
14	3, 5
15	
16	
17	3, 5, 6, 7, 10, 11, 12, 14
18	5, 11
19	2, 3, 10, 13, 14, 15
20	
21	
22	7, 13, 17, 19
23	5, 7, 10, 11, 14, 15, 17, 19, 20, 21
24	
25	2, 3, 8, 12, 13, 17, 22, 23
26	7, 11, 15, 19
27	2, 5, 11, 14, 20, 23
28	
29	2, 3, 8, 10, 11, 14, 15, 18, 19, 21, 26, 27
30	
31	3, 11, 12, 13, 17, 21, 22, 24
32	
33	
34	3, 5, 7, 11, 23, 27, 29, 31
35	
36	
37	2, 5, 13, 15, 17, 18, 19, 20, 22, 24, 32, 35
38	3, 13, 15, 21, 29, 33
39	
40	
41	6, 7, 11, 12, 13, 15, 17, 19, 22, 24, 26, 28, 29, 30, 34, 35
42	
43	3, 5, 12, 18, 19, 20, 26, 28, 29, 30, 33, 34
44	
45	
46	5, 7, 11, 15, 17, 19, 21, 33, 37, 43
47	5, 10, 11, 13, 15, 19, 20, 22, 23, 26, 29, 30, 31, 33, 35, 38, 39, 40, 41, 43, 44, 45
48	
49	3, 5, 10, 12, 17, 24, 26, 33, 38, 40, 45, 47
50	3, 13, 17, 23, 27, 33, 37, 47
51	
52	
53	2, 3, 5, 8, 12, 14, 18, 19, 20, 21, 22, 26, 27, 31, 32, 33, 34, 35, 39, 41, 45, 48, 50, 51
54	5, 11, 23, 29, 41, 47
55	
56	
57	
58	3, 11, 15, 19, 21, 27, 31, 37, 39, 43, 47, 55
59	2, 6, 8, 10, 11, 13, 14, 18, 23, 24, 30, 31, 32, 33, 34, 37, 38, 39, 40, 42, 43, 44, 47, 50, 52, 54, 55, 56
60	

